Key,en,zh,ja
"收藏夹名称","FavoritesName","收藏夹名称","コレ名"
"♪0","♪0","♪0","♪0"
"发现音乐","Discover","发现音乐","音楽発見"
"从众多UP主中推荐","Rec. from Creators","从众多UP主中推荐","クリエイターおすすめ"
"确定","OK","确定","OK"
"收藏列表","Favorites","收藏列表","コレリスト"
"做一个音乐收藏家","Be a Music Collector","做一个音乐收藏家","音楽コレクター"
"添加文件夹","Add Folder","添加文件夹","ﾌｫﾙﾀﾞ追加"
"剪切","Cut","剪切","切取"
"复制","Copy","复制","複写"
"粘贴","Paste","粘贴","貼付"
"移除","Remove","移除","削除"
"下载到本地","DL to Local","下载到本地","ﾛｰｶﾙDL"
"导入音乐","Import","导入音乐","音楽取込"
"从其他地方丰富你的收藏","Enrich from Elsewhere","从其他地方丰富你的收藏","他場所から充実"
"本地导入","Local","本地导入","ﾛｰｶﾙ取込"
"文件路径","File Path","文件路径","ﾌｧｲﾙﾊﾟｽ"
"请选择你要导入的音频文件","Select audio file","请选择你要导入的音频文件","ｵｰﾃﾞｨｵ選択"
"取消","Cancel","取消","中止"
"Audio Files","Audio Files","音频文件","ｵｰﾃﾞｨｵﾌｧｲﾙ"
"BV•AU号","BV/AU No.","BV•AU号","BV/AU番"
"BV/AU号","BV/AU No.","BV/AU号","BV/AU番"
"导入字幕内容","Import Subtitles","导入字幕内容","字幕取込"
"导入","Import","导入","取込"
"请使用B站App扫码登录","Scan with Bili App","请使用B站App扫码登录","Biliｱﾌﾟﾅｽｷｬﾝ"
"用 Bilibili 扫码登陆","Login via QR","用 Bilibili 扫码登陆","QRﾛｸﾞｲﾝ"
"在B站上找音乐","Find Music on Bili","在B站上找音乐","Biliで音楽検索"
"搜索音乐","Search Music","搜索音乐","音楽検索"
"从众多up主中推荐","Rec. from Up主","从众多up主中推荐","ｱｯﾌﾟ主おすすめ"
"搜索结果","Results","搜索结果","検索結果"
"从外部导入音乐","Import External","从外部导入音乐","外部取込"
"导入音频","Import","导入音频","音声取込"
"自定义你的播放器","Customize Player","自定义你的播放器","ﾌﾟﾚｲﾔｰ設定"
"设置","Settings","设置","設定"
"TitleTitleTitleTitleTitleTitleTitleTitleTitleTitle","Title (long)","TitleTitleTitleTitleTitleTitleTitleTitleTitleTitle","ﾀｲﾄﾙ(長)"
"AuthorAuthorAuthorAuthorAuthorAuthorAuthor","Author (long)","AuthorAuthorAuthorAuthorAuthorAuthorAuthor","作者(長)"
"管理音乐元数据","Manage Metadata","管理音乐元数据","ﾒﾀﾃﾞｰﾀ管理"
"封面文件","Cover File","封面文件","ｶﾊﾞｰﾌｧｲﾙ"
"标题文本","Title Text","标题文本","ﾀｲﾄﾙ文"
"上传者","Uploader","上传者","ｱｯﾌﾟﾛｰﾀﾞｰ"
"音频链接","Audio Link","音频链接","音声ﾘﾝｸ"
"原BV号","Orig. BV No.","原BV号","原BV番"
"音乐描述","Music Desc.","音乐描述","音楽説明"
"点击登陆","Click Login","点击登陆","ﾛｸﾞｲﾝ"
"退出登陆","Logout","退出登陆","ﾛｸﾞｱｳﾄ"
"暂无可用主题","No available themes","暂无可用主题","テーマが見つかりません"
"账号","Account","账号","ｱｶｳﾝﾄ"
" B站账号","Bili Account"," B站账号","Biliｱｶｳﾝﾄ"
"常规","General","常规","一般"
"自动获取字幕(有些误差)","Auto Fetch Subs","自动获取字幕(有些误差)","字幕自動取得"
"字幕文本修正(作用不太大)","Subtitle Correction","字幕文本修正(作用不太大)","字幕修正"
"开机自启动","Auto-start","开机自启动","起動時起動"
"记住窗口状态","Remember Window","记住窗口状态","ｳｨﾝﾄﾞｳ記憶"
"外观","Appearance","外观","外観"
"播放器皮肤","Player Skin","播放器皮肤","ﾌﾟﾚｲﾔｰｽｷﾝ"
"自定义大窗口播放主题","Customize Big Theme","自定义大窗口播放主题","大ｳｨﾝﾄﾞｳﾃｰﾏ"
"储存","Storage","储存","保存"
"清理封面缓存","Clear Cover Cache","清理封面缓存","ｶﾊﾞｰｷｬｯｼｭ削除"
"清理歌词缓存","Clear Lyrics Cache","清理歌词缓存","歌詞ｷｬｯｼｭ削除"
"Title","Title","标题","ﾀｲﾄﾙ"
"Text","Text","文本","ﾃｷｽﾄ"
"搜索","Search","搜索","検索"
"请搜索","Search","请搜索","検索"
"搜索中","Searching...","搜索中","検索中"
"未找任何歌曲","No songs found","未找任何歌曲","曲なし"
"网络错误","Network Error","网络错误","ﾈｯﾄﾜｰｸｴﾗｰ"
"综合排序","Compre.","综合排序","総合順"
"最多点击","Most Clicks","最多点击","最多ｸﾘｯｸ"
"最新发布","Latest Release","最新发布","最新ﾘﾘｰｽ"
"最多弹幕","Most Danmaku","最多弹幕","最多弾幕"
"最多收藏","Most Coll.","最多收藏","最多ｺﾚ"
"最多评论","Most Comments","最多评论","最多ｺﾒﾝﾄ"
"默认分区","Default Section","默认分区","ﾃﾞﾌｫﾙﾄ区分"
"音乐综合","Music Comp.","音乐综合","音楽総合"
"音乐现场","Music Live","音乐现场","音楽ﾗｲﾌﾞ"
"演奏","Performance","演奏","演奏"
"翻唱","Cover","翻唱","ｶﾊﾞｰ"
"MV","MV","MV","MV"
"VOCALOID·UTAU","VOCALOID·UTAU","VOCALOID·UTAU","VOCALOID·UTAU"
"电音","Electronic Music","电音","ｴﾚｸﾄﾛ"
"原创音乐","Original Music","原创音乐","ｵﾘｼﾞﾅﾙ"
"上一页","Prev","上一页","前ﾍﾟｰｼﾞ"
"页码","Page No.","页码","ﾍﾟｰｼﾞ番"
"下一页","Next","下一页","次ﾍﾟｰｼﾞ"
"Name","Name","名称","名前"
"Author","Author","作者","作者"
"▶ 114514","▶ 114514","▶ 114514","▶ 114514"
"0:00","0:00","0:00","0:00"
"New Code Region","New Code Region","新代码区域","新ｺｰﾄﾞ領域"
"Linear","Linear","线性","ﾘﾆｱ"
"Pick a color from the screen.","Pick from screen","从屏幕取色","画面から選択"
"Pick a color from the application window.","Pick from window","从应用程序窗口取色","ｱﾌﾟﾘｳｨﾝﾄﾞｳから"
"Alpha","Alpha","透明度","ｱﾙﾌｧ"
"Intensity","Intensity","强度","強度"
"Expr","Expr","表达式","式"
"Hex","Hex","十六进制","16進"
